ZDMC,ZFY
妊娠状态,8.434999999999999
妊娠相关情况,51.375
婴儿痉挛症[West综合征],5818.47
子宫内粘连,2213.49
子宫内膜增厚,2424.0
子宫内膜息肉,1971.2042857142858
子宫内膜息肉样增生,755.61
子宫内膜恶性肿瘤,7088.262857142858
子宫内膜炎,1059.65
子宫复旧不全,851.75
子宫多发性平滑肌瘤,3277.99
子宫平滑肌瘤,5282.412
子宫恶性肿瘤,844.04
子宫瘢痕处妊娠,1036.73
子宫纵隔,2769.21
子宫肿瘤,3533.38
子宫腺肌病,4549.96
子宫腺肌症,4435.27
子宫腺肌瘤,2495.31
子宫良性肿瘤,4821.055
子宫附件肿物,4521.68
子宫颈良性肿瘤,4033.785
孔源性视网膜脱离,4206.076666666667
室性心动过速,23554.0
室性早搏,4151.28
室管膜瘤,22368.36
室间隔缺损,14508.470000000001
室间隔缺损修补术后残余分流,4431.61
宫颈上皮内肿瘤,2278.17
宫颈上皮内肿瘤I级,2625.81
宫颈上皮内肿瘤，Ⅱ级,2020.37
宫颈上皮内肿瘤，Ⅲ级,2786.77
宫颈功能不全,1424.95
宫颈原位癌,5219.795
宫颈息肉,1809.8599999999997
宫颈恶性肿瘤,4006.6533333333336
宫颈机能不全,3390.5533333333333
宫颈炎性疾病,1495.24
宫颈癌_经腹腔镜全子宫切除术,1969.45
宫颈癌_经腹腔镜广泛子宫切除术+盆腹腔淋巴结清扫,22824.61
宫颈良性肿瘤,3138.89
宫颈赘生物,783.94
对器官供者的检查,1036.2
对症治疗,1533.5245454545454
小耳畸形,6428.952857142857
小脑扁桃体下疝畸形[Arnold-Chiari综合征],8419.53
小腿其他部位的骨折,6733.68
小腿软组织疾患,926.39
尺神经炎,2658.03
尺骨骨折,2806.706666666667
尺骨鹰嘴骨折,2041.59
尿失禁,1408.92
尿毒症,2926.5330000000004
尿毒症患者的透析治疗,773.3852953156827
尿潴留,1801.775
尿道下裂,3620.895
尿道下裂术后随诊医疗,4161.09
尿道口炎,780.0
尿道损伤,4878.79
尿道狭窄,4742.2699999999995
尿道瘘,3827.17
尿道结石,24.63
左乳癌新辅助化疗后,8129.72
左心衰竭,6641.21
巨细胞病毒感染,518.87
巨结肠,10205.59
帕金森氏病,295.29
帕金森病,1051.5759999999998
帕金森综合征,3054.59
带状疱疹,4340.481999999999
带状疱疹( 不伴有并发症),856.075
带状疱疹性神经痛,2704.25
干燥综合征,135.5975
干燥综合症,290.37
并发性白内障,4986.577499999999
幼儿急疹,4513.02
幼年型特发性关节炎,3790.63
幽门梗阻,3796.37
幽门螺旋杆菌感染,1420.085
广泛性焦虑障碍,2187.88
康复医疗,811.37
开放性小腿多处损伤,35.19
开放性手部损伤,1538.0566666666666
开放性腕部损伤,14.36
开放性足损伤,5.84
开放性趾外伤伴趾甲损坏,21.8
异位妊娠,4246.2699999999995
异常子宫出血,1139.8533333333332
弥漫性外耳炎,6.52
弥漫性甲状腺肿伴甲状腺功能亢进症,1778.9
弥漫性腹膜炎,5896.85
强直性脊柱炎,1590.0721428571426
强迫状态,1917.61
心、脑、大血管支架植入,2579.8266666666664
心内膜炎,2145.14
心力衰竭,1898.0462500000003
心功能不全,4693.506666666667
心动过缓,1420.54
心动过速,490.95
心律失常,10356.607142857143
心律失常，其他特指的,274.29
心房扑动,17236.99
心房纤颤和扑动,1435.79
心房颤动,23368.6625
心源性晕厥,14225.94
心绞痛,7928.53
心肌损害,511.57
心肌梗死前综合征,9064.39
心肌梗死后心绞痛,20851.22
心肌炎,5812.295
心肌病,6697.361999999999
心脏停搏,869.19
心脏停搏复苏成功,17813.79
心脏搭桥术后,11539.05
心脏病,17499.864761904762
心脏病康复,501.4
心脏神经官能症,912.88
心脑大血管支架植入术后抗栓治疗,202.43
心脑大血管支架植入术后抗栓治疗（有效期两年）,335.04815789473685
心脑大血管支架植入（有效期两年）,313.31350000000003
急性上呼吸道感染,57.84119791666675
急性上消化道出血,3078.76
急性上颌窦炎,13.08
急性下壁心肌梗死,10046.49
急性中耳炎,1749.71
急性乳腺炎,634.235
急性会厌炎,1676.95
急性冠脉综合征,1616.845
急性前列腺炎,1195.93
急性前壁心肌梗死,422.74
急性化脓性中耳炎,637.12
急性化脓性扁桃体炎,858.3770000000001
急性化脓性阑尾炎,4357.252
急性化脓性阑尾炎伴穿孔,6250.32
急性化脓性阑尾炎伴穿孔伴局限性腹膜炎,4791.38
急性化脓性阑尾炎伴阑尾周围炎,4413.3
急性呼吸衰竭,13044.79
急性咽喉炎,6.52
急性咽炎,10.329999999999998
急性喉气管炎,662.52
急性喉气管炎!!,752.85
急性喉炎,821.8
急性喘息性支气管炎,698.9540000000001
急性坏疽性阑尾炎伴阑尾周围炎,2998.21
急性女性盆腔炎,836.08
急性尿道炎,10.815000000000001
急性左心衰竭,1949.3
